filename,y_true
fault_1,0
fault_2,0
fault_3,0
fault_4,0
fault_5,0
fault_6,0
fault_7,0
fault_8,0
fault_9,0
fault_10,0
fault_11,0
fault_12,0
fault_13,0
fault_14,0
fault_15,0
fault_16,0
fault_17,0
fault_18,0
fault_19,0
fault_20,0
fault_21,0
fault_22,0
fault_23,0
fault_24,0
fault_25,0
fault_26,0
fault_27,0
fault_28,0
fault_29,0
fault_30,0
fault_31,0
fault_32,0
fault_33,0
fault_34,0
fault_35,0
fault_36,0
fault_37,0
fault_38,0
fault_39,0
fault_40,0
fault_41,0
fault_42,0
fault_43,0
fault_44,0
fault_45,0
normal_1,1
normal_2,1
normal_3,1
normal_4,1
normal_5,1
normal_6,1
normal_7,1
normal_8,1
normal_9,1
normal_10,1
normal_11,1
normal_12,1
normal_13,1
normal_14,1
normal_15,1
normal_16,1
normal_17,1
normal_18,1
normal_19,1
normal_20,1
normal_21,1
normal_22,1
normal_23,1
normal_24,1
normal_25,1
normal_26,1
normal_27,1
normal_28,1
normal_29,1
normal_30,1
normal_31,1
normal_32,1
normal_33,1
normal_34,1
normal_35,1
normal_36,1
normal_37,1
normal_38,1
normal_39,1
normal_40,1
normal_41,1
normal_42,1
normal_43,1
normal_44,1
normal_45,1
